"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ACDU","7822","3139","4683","863","861","2"
"ACSP","7055","2372","4683","99","94","5"
"ACXA","7109","2426","4683","151","148","3"
"AEOC","7044","2309","4735","83","31","52"
"ALCI","6965","2282","4683","5","4","1"
"ALSC","6982","2295","4687","21","17","4"
"APVI","7637","2830","4807","676","552","124"
"AUCH","7380","2626","4754","419","348","71"
"BALA","6961","2278","4683","4","2","2"
"BAPO","6995","2312","4683","35","34","1"
"BOAL","8759","4076","4683","1804","1798","6"
"CAAB","6994","2297","4697","33","19","14"
"CAFE","6985","2302","4683","26","24","2"
"CAGA","6972","2282","4690","11","4","7"
"CAIG","7005","2306","4699","44","28","16"
"CAME","7607","2891","4716","646","613","33"
"CAOR","7029","2343","4686","68","65","3"
"CEAR","8278","3595","4683","1340","1317","23"
"CHCH","7008","2305","4703","47","27","20"
"CHPE","7091","2408","4683","215","130","85"
"CHUB","7379","2696","4683","421","418","3"
"DASY","6965","2278","4687","6","2","4"
"DIHY","7003","2314","4689","42","36","6"
"ELBI","6974","2289","4685","13","11","2"
"FICO","7201","2454","4747","240","176","64"
"MOGR","7788","3105","4683","835","827","8"
"MOSP","6987","2291","4696","26","13","13"
"NAAN","6972","2289","4683","12","11","1"
"NABR","7501","2816","4685","540","538","2"
"NAHE","7663","2959","4704","702","681","21"
"NAUN","7649","2945","4704","688","667","21"
"OPPU","6972","2284","4688","11","6","5"
"SCLY","7014","2331","4683","54","53","1"
"SCRU","8503","3296","5207","1551","1018","533"
"SEDU","7048","2340","4708","87","62","25"
"SPBA","6991","2302","4689","30","24","6"
"SPLE","6966","2278","4688","7","2","5"
"SURG","6994","2311","4683","34","33","1"
"TROB","7002","2299","4703","41","21","20"
